contains the data for build a graph for analysis.
Exploration Plus Magnitude
magnitude value : 1 5 10 20 50 75 100 
123 perturbation point
PM : Numerical Perturbator
1 files of 100 chararacters
Random characters generated with 23 as seed
Magnitude   IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
50          113        0          0          0          0          0              NaN                        
75          113        0          0          0          0          0              NaN                        
100         113        0          0          0          0          0              NaN                        
1           114        0          0          0          0          0              NaN                        
5           114        0          0          0          0          0              NaN                        
10          114        0          0          0          0          0              NaN                        
20          114        0          0          0          0          0              NaN                        
50          114        0          0          0          0          0              NaN                        
75          114        0          0          0          0          0              NaN                        
100         114        0          0          0          0          0              NaN                        
1           115        0          0          0          0          0              NaN                        
5           115        0          0          0          0          0              NaN                        
10          115        0          0          0          0          0              NaN                        
20          115        0          0          0          0          0              NaN                        
50          115        0          0          0          0          0              NaN                        
75          115        0          0          0          0          0              NaN                        
100         115        0          0          0          0          0              NaN                        
1           116        0          0          0          0          0              NaN                        
5           116        0          0          0          0          0              NaN                        
10          116        0          0          0          0          0              NaN                        
20          116        0          0          0          0          0              NaN                        
50          116        0          0          0          0          0              NaN                        
75          116        0          0          0          0          0              NaN                        
100         116        0          0          0          0          0              NaN                        
1           118        0          0          0          0          0              NaN                        
5           118        0          0          0          0          0              NaN                        
10          118        0          0          0          0          0              NaN                        
20          118        0          0          0          0          0              NaN                        
50          118        0          0          0          0          0              NaN                        
75          118        0          0          0          0          0              NaN                        
100         118        0          0          0          0          0              NaN                        
1           119        0          0          0          0          0              NaN                        
5           119        0          0          0          0          0              NaN                        
10          119        0          0          0          0          0              NaN                        
20          119        0          0          0          0          0              NaN                        
50          119        0          0          0          0          0              NaN                        
75          119        0          0          0          0          0              NaN                        
